Primary Campus,University,School Name,Course Name,Class Name,
,,,Master of Applied Economics,February 2025 Intake (USD),1
,,,Master of Banking and Finance,February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Banking and Finance and Master of Commerce,February 2025 Intake (USD),1
,,,Master of Business Administration (MBA),April 2024 Intake (USD),1
,,,,January 2024 Intake (USD),1
,,,,June 2024 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,Master of Business Analytics,February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Finance,July 2024 Intake (USD),1
,,,Master of Finance and Master of Management,July 2024 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,Master of International Business,July 2024 Intake (USD),1
,,,Master of Management,February 2024 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Marketing,July 2024 Intake (USD),1
,,,Master of Professional Accounting,February 2024 Intake (USD),1
,,,,July 2024 Intake (USD),1
,Monash University,Faculty of Arts,Master of Public Policy,February 2024 Intake (2 Year Option) (USD),1
,,,,February 2025 Intake (2 Year Option) (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2024 Intake (2 Year Option) (USD),1
,,,,July 2024 Intake (USD),1
,,Faculty of Engineering,Master of Advanced Robotic Construction Engineering,February 2025 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Engineering,February 2025 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Professional Engineering,February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,Faculty of Information Technology,Master of Artificial Intelligence,February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Cybersecurity,February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Data Science,February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Information Technology,February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,Faculty of Law,LLM,February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,"Faculty of Medicine, Nursing and Health Sciences",Master of Advanced Nursing,February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Biomedical and Health Sciences,February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Biotechnology,February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Health Data Analytics,February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Nursing Practice,February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Public Health,February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,Faculty of Science,Master of Financial Mathematics,February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Genome Analytics,February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Geographical Information Science and Technology,February 2025 Intake (USD),1
